patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Khoa Hoàng Dương,307768345057,1954,0957298963,patient_0000@anon.medviet.local,"2 Trần Dãy, JaneThành phố, 405510",Tiểu đường,5.37,Huy Văn Vũ,31/01/2026
562b0f79-c374-49ee-b50b-ea63371ecd7b,Mai Mai,030029430232,1948,0912226902,patient_0001@anon.medviet.local,"8 Dương Số, Thị xã JohnXã, 321941",Huyết áp cao,9.14,Hải Xuân Trần,20/01/2026
a2bc372f-7412-4293-8729-4739614ff3d7,Hưng Nguyễn,711547481914,1963,0539887444,patient_0002@anon.medviet.local,"182 Vũ Dãy, Thành phố JohnHuyện, 581376",Khỏe mạnh,9.09,Bác Châu Dương,03/03/2026
654821d0-7fcd-4eb1-a7ca-d415366eb16f,Anh Trọng Mai,944834849852,1968,0836082998,patient_0003@anon.medviet.local,"1 Trần Làng, Thành phố JohnHuyện, 641135",Tiểu đường,8.28,Cô Linh Lê,18/02/2026
f143262f-dc5c-4eed-8da0-365bf89897b9,Thành Mai,777614085147,1971,0737808866,patient_0004@anon.medviet.local,"91 John Số, JohnThị xã, 838294",Tim mạch,7.17,Tú Trần,05/04/2026
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Bác Quang Phạm,105148995502,1968,0548244429,patient_0005@anon.medviet.local,"649 Jane Hẻm, JaneHuyện, 391480",Huyết áp cao,5.47,Khoa Đặng,27/03/2026
1efa2197-7394-488f-847f-d9b4e64d1bcb,Kim Văn Bùi,451255031583,1938,0967890332,patient_0006@anon.medviet.local,"763 Lê Số, Huyện JaneQuận, 942290",Huyết áp cao,5.01,Ông Thành Vũ,06/02/2026
6e595ed3-a8b3-47fa-98d0-752b1825bc54,Bà Nhật Hoàng,025983831284,1942,0570899273,patient_0007@anon.medviet.local,"770 Jane Đường, JaneXã, 632401",Tiểu đường,9.94,Phương Bảo Trần,03/01/2026
c0e9ab30-ed26-42e9-97e0-11b7f8102383,Cô Hồng Phạm,157461626069,2000,0710555383,patient_0008@anon.medviet.local,"92 Dương Hẻm, JanePhường, 876427",Tiểu đường,9.39,Chị Hương Bùi,12/01/2026
80bacd64-7a0e-4fea-958c-a9ba0cd620c2,Cô Phương Bùi,129897793304,1960,0779501263,patient_0009@anon.medviet.local,"83 Trần Tổ, Quận JaneQuận, 328591",Huyết áp cao,8.69,Nhật Vũ,26/01/2026
